fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 23:55:00,2026-09-01 00:00:00.000,2026-09-01 23:55:00.000,659,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:55,,1,EN HORARIO,ON TIME,35,94753919,947539,144
2026-09-01 12:10:24,El Alto,S,2026-09-01 23:50:00,2026-09-01 00:00:00.000,2026-09-01 23:50:00.000,629,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:50,,N5,,,19,406878320,4068783,82
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 23:45:00,2026-09-01 00:00:00.000,2026-09-01 23:45:00.000,1659,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:45,,1,EN HORARIO,ON TIME,35,94755119,947551,143
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 23:30:00,2026-09-01 00:00:00.000,2026-09-01 23:30:00.000,626,BOLIVIANA DE AVIACION,B50015,LA PAZ,23:30,,,,,76,51792018,517920,86
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 23:15:00,2026-09-01 00:00:00.000,2026-09-01 23:15:00.000,656,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:15,,,EN HORARIO,ON TIME,8,94750119,947501,141
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 23:15:00,2026-09-01 00:00:00.000,2026-09-01 23:15:00.000,688,BOLIVIANA DE AVIACION,B50015,LA PAZ,23:15,,,EN HORARIO,ON TIME,8,94763519,947635,142
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 23:10:00,2026-09-01 00:00:00.000,2026-09-01 23:10:00.000,1656,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:10,,,EN HORARIO,ON TIME,8,94757419,947574,140
2026-09-01 12:10:24,El Alto,L,2026-09-01 23:05:00,2026-09-01 00:00:00.000,2026-09-01 23:05:00.000,624,BOLIVIANA DE AVIACION,B50015,MADRID - SUCRE - TARIJA - COCHABAMBA,23:05,,1-C2,,,11,406876720,4068767,81
2026-09-01 12:10:24,El Alto,S,2026-09-01 23:05:00,2026-09-01 00:00:00.000,2026-09-01 23:05:00.000,986,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,23:05,,N5,CANCELADO,CANCELLED,15,406878220,4068782,80
2026-09-01 12:10:24,El Alto,S,2026-09-01 23:00:00,2026-09-01 00:00:00.000,2026-09-01 23:00:00.000,688,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,23:00,,N5,,,19,406878120,4068781,79
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 22:50:00,2026-09-01 00:00:00.000,2026-09-01 22:50:00.000,625,BOLIVIANA DE AVIACION,B50015,LA PAZ,22:50,,,,,77,51790118,517901,85
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 22:44:00,2026-09-01 00:00:00.000,2026-09-01 22:44:00.000,127,COPA AIRLINES,C1U036,PANAMA  -  TOCUMEN,22:44,,,EN HORARIO,ON TIME,8,94752119,947521,139
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 22:25:00,2026-09-01 00:00:00.000,2026-09-01 22:25:00.000,656,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,22:25,,,,,76,51792418,517924,84
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 22:20:00,2026-09-01 00:00:00.000,2026-09-01 22:20:00.000,1656,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,22:20,,,,,76,51793318,517933,82
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 22:20:00,2026-09-01 00:00:00.000,2026-09-01 22:20:00.000,624,BOLIVIANA DE AVIACION,B50015,LA PAZ,22:20,,,,,76,51791918,517919,83
2026-09-01 12:10:24,El Alto,L,2026-09-01 22:15:00,2026-09-01 00:00:00.000,2026-09-01 22:15:00.000,983,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,22:15,,2,CANCELADO,CANCELLED,5,406876620,4068766,78
2026-09-01 12:10:24,El Alto,L,2026-09-01 22:10:00,2026-09-01 00:00:00.000,2026-09-01 22:10:00.000,683,BOLIVIANA DE AVIACION,B50015,ASUNCION - SANTA CRUZ,22:10,,1-C2,,,11,406876520,4068765,77
2026-09-01 12:10:24,El Alto,S,2026-09-01 22:05:00,2026-09-01 00:00:00.000,2026-09-01 22:05:00.000,625,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,22:05,,N5,,,19,406878020,4068780,76
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 22:05:00,2026-09-01 00:00:00.000,2026-09-01 22:05:00.000,133,ECO JET,E3U024,LA PAZ,22:05,,,EN HORARIO,ON TIME,8,94756819,947568,138
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 21:50:00,2026-09-01 00:00:00.000,2026-09-01 21:50:00.000,1649,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,21:50,,,,,77,51793518,517935,81
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 21:45:00,2026-09-01 00:00:00.000,2026-09-01 21:45:00.000,533,BOLIVIANA DE AVIACION,B50015,TARIJA,21:45,,,,,77,51789218,517892,80
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 21:25:00,2026-09-01 00:00:00.000,2026-09-01 21:25:00.000,579,BOLIVIANA DE AVIACION,B50015,SUCRE,21:25,,,,,77,51790218,517902,79
