tipo_transporte,origen_nombre,destino_nombre,empresa_aerolinea,categoria_cabina,precio_min,precio_avg,precio_max,total_ofertas,ultima_fecha_vista,ruta
VUELO,COBIJA,LA PAZ,TAMep,ECONOMICA,775.0,775.0,775.0,1,2026-09-07,COBIJA ➔ LA PAZ
BUS,COCHABAMBA,LA PAZ,TRANS COPACABANA S.A.,CAMA,84.0,117.0,150.0,2,2026-09-05,COCHABAMBA ➔ LA PAZ
BUS,COCHABAMBA,LA PAZ,EL DORADO,CAMA,105.0,131.0,150.0,6,2026-09-06,COCHABAMBA ➔ LA PAZ
VUELO,COCHABAMBA,LA PAZ,TAMep,ECONOMICA,285.0,285.0,285.0,1,2026-09-06,COCHABAMBA ➔ LA PAZ
BUS,COCHABAMBA,POTOSI,EL DORADO,CAMA,200.0,200.0,200.0,1,2026-09-06,COCHABAMBA ➔ POTOSI
BUS,COCHABAMBA,POTOSI,TRANS COPACABANA S.A.,CAMA,200.0,200.0,200.0,1,2026-09-05,COCHABAMBA ➔ POTOSI
BUS,COCHABAMBA,SANTA CRUZ,EL DORADO,CAMA,157.0,157.0,157.0,1,2026-09-06,COCHABAMBA ➔ SANTA CRUZ
BUS,COCHABAMBA,SANTA CRUZ,TRANS COPACABANA S.A.,CAMA,200.0,200.0,200.0,1,2026-09-05,COCHABAMBA ➔ SANTA CRUZ
VUELO,COCHABAMBA,SANTA CRUZ,TAMep,ECONOMICA,608.0,608.0,608.0,1,2026-09-06,COCHABAMBA ➔ SANTA CRUZ
BUS,COCHABAMBA,SUCRE,EL DORADO,CAMA,157.0,157.0,157.0,1,2026-09-06,COCHABAMBA ➔ SUCRE
BUS,COCHABAMBA,SUCRE,TRANS COPACABANA S.A.,CAMA,157.0,157.0,157.0,1,2026-09-05,COCHABAMBA ➔ SUCRE
BUS,COCHABAMBA,TARIJA,TRANS COPACABANA S.A.,CAMA,358.0,358.0,358.0,1,2026-09-07,COCHABAMBA ➔ TARIJA
VUELO,Cobija,La Paz,BOLIVIANA DE AVIACION,ECONOMICA,744.0,744.0,744.0,2,2026-09-07,Cobija ➔ La Paz
VUELO,Cochabamba,La Paz,BOLIVIANA DE AVIACION,ECONOMICA,360.0,526.7,553.0,11,2026-09-07,Cochabamba ➔ La Paz
VUELO,Cochabamba,Oruro,BOLIVIANA DE AVIACION,ECONOMICA,326.0,359.7,427.0,3,2026-09-07,Cochabamba ➔ Oruro
VUELO,Cochabamba,Santa Cruz,BOLIVIANA DE AVIACION,ECONOMICA,713.0,1382.9,1605.0,10,2026-09-06,Cochabamba ➔ Santa Cruz
VUELO,Cochabamba,Tarija,BOLIVIANA DE AVIACION,ECONOMICA,489.0,612.8,721.0,5,2026-09-07,Cochabamba ➔ Tarija
VUELO,Cochabamba,Trinidad,BOLIVIANA DE AVIACION,ECONOMICA,538.0,595.7,653.0,3,2026-09-07,Cochabamba ➔ Trinidad
VUELO,LA PAZ,COBIJA,TAMep,ECONOMICA,818.0,818.0,818.0,1,2026-09-07,LA PAZ ➔ COBIJA
BUS,LA PAZ,COCHABAMBA,EL DORADO,CAMA,105.0,135.0,150.0,3,2026-09-06,LA PAZ ➔ COCHABAMBA
BUS,LA PAZ,COCHABAMBA,TRANS COPACABANA S.A.,CAMA,148.0,148.0,148.0,2,2026-09-05,LA PAZ ➔ COCHABAMBA
BUS,LA PAZ,POTOSI,TRANS COPACABANA S.A.,CAMA,181.0,181.0,181.0,1,2026-09-06,LA PAZ ➔ POTOSI
VUELO,LA PAZ,SANTA CRUZ,TAMep,ECONOMICA,512.0,659.3,733.0,3,2026-09-07,LA PAZ ➔ SANTA CRUZ
BUS,LA PAZ,SUCRE,TEQUILA,CAMA,146.0,146.0,146.0,1,2026-09-05,LA PAZ ➔ SUCRE
BUS,LA PAZ,SUCRE,EL MEXICANO,SUITE,150.0,150.0,150.0,1,2026-09-06,LA PAZ ➔ SUCRE
BUS,LA PAZ,SUCRE,TRANS COPACABANA S.A.,CAMA,252.0,252.0,252.0,1,2026-09-06,LA PAZ ➔ SUCRE
BUS,LA PAZ,TARIJA,ROYAL CLASS,CAMA,280.0,305.0,330.0,2,2026-09-07,LA PAZ ➔ TARIJA
BUS,LA PAZ,TARIJA,TRANS COPACABANA S.A.,CAMA,363.0,363.0,363.0,1,2026-09-06,LA PAZ ➔ TARIJA
VUELO,La Paz,Cobija,BOLIVIANA DE AVIACION,ECONOMICA,642.0,898.0,1154.0,2,2026-09-07,La Paz ➔ Cobija
VUELO,La Paz,Cochabamba,BOLIVIANA DE AVIACION,ECONOMICA,311.0,569.4,1765.0,12,2026-09-07,La Paz ➔ Cochabamba
VUELO,La Paz,Santa Cruz,BOLIVIANA DE AVIACION,ECONOMICA,689.0,931.0,1067.0,16,2026-09-07,La Paz ➔ Santa Cruz
VUELO,La Paz,Tarija,BOLIVIANA DE AVIACION,ECONOMICA,746.0,1235.8,1920.0,14,2026-09-07,La Paz ➔ Tarija
VUELO,La Paz,Trinidad,BOLIVIANA DE AVIACION,ECONOMICA,817.0,924.8,992.0,4,2026-09-06,La Paz ➔ Trinidad
VUELO,Oruro,Cochabamba,BOLIVIANA DE AVIACION,ECONOMICA,326.0,326.0,326.0,2,2026-09-07,Oruro ➔ Cochabamba
VUELO,Oruro,Santa Cruz,BOLIVIANA DE AVIACION,ECONOMICA,1451.0,1634.2,1814.0,4,2026-09-06,Oruro ➔ Santa Cruz
BUS,POTOSI,LA PAZ,EL DORADO,CAMA,181.0,181.0,181.0,1,2026-09-06,POTOSI ➔ LA PAZ
BUS,SANTA CRUZ,COCHABAMBA,RENACER,CAMA,105.0,105.0,105.0,2,2026-09-05,SANTA CRUZ ➔ COCHABAMBA
BUS,SANTA CRUZ,COCHABAMBA,TRANS COPACABANA S.A.,CAMA,105.0,105.0,105.0,1,2026-09-05,SANTA CRUZ ➔ COCHABAMBA
BUS,SANTA CRUZ,COCHABAMBA,EL DORADO,CAMA,126.0,188.0,250.0,2,2026-09-07,SANTA CRUZ ➔ COCHABAMBA
VUELO,SANTA CRUZ,COCHABAMBA,TAMep,ECONOMICA,539.0,556.5,574.0,2,2026-09-07,SANTA CRUZ ➔ COCHABAMBA
BUS,SANTA CRUZ,LA PAZ,TRANS COPACABANA S.A.,CAMA,209.0,209.0,209.0,2,2026-09-05,SANTA CRUZ ➔ LA PAZ
BUS,SANTA CRUZ,LA PAZ,EL DORADO,CAMA,219.0,273.0,370.0,3,2026-09-06,SANTA CRUZ ➔ LA PAZ
VUELO,SANTA CRUZ,LA PAZ,TAMep,ECONOMICA,953.0,953.0,953.0,2,2026-09-07,SANTA CRUZ ➔ LA PAZ
BUS,SANTA CRUZ,SUCRE,TEQUILA,SUITE,136.0,136.0,136.0,1,2026-09-05,SANTA CRUZ ➔ SUCRE
BUS,SANTA CRUZ,SUCRE,EL MEXICANO,SUITE,170.0,185.0,200.0,2,2026-09-05,SANTA CRUZ ➔ SUCRE
BUS,SANTA CRUZ,TARIJA,TRANS COPACABANA S.A.,CAMA,188.0,188.0,188.0,1,2026-09-05,SANTA CRUZ ➔ TARIJA
BUS,SANTA CRUZ,TARIJA,EL MEXICANO,SUITE,200.0,200.0,200.0,1,2026-09-05,SANTA CRUZ ➔ TARIJA
BUS,SANTA CRUZ,TRINIDAD,RENACER,CAMA,105.0,115.5,126.0,2,2026-09-05,SANTA CRUZ ➔ TRINIDAD
BUS,SANTA CRUZ,TRINIDAD,TRANS COPACABANA S.A.,CAMA,126.0,126.0,126.0,1,2026-09-05,SANTA CRUZ ➔ TRINIDAD
BUS,SANTA CRUZ,TRINIDAD,LA QUERIDA,CAMA,167.0,167.0,167.0,1,2026-09-05,SANTA CRUZ ➔ TRINIDAD
BUS,SANTA CRUZ,YACUIBA,TRANS COPACABANA S.A.,CAMA,105.0,105.0,105.0,1,2026-09-05,SANTA CRUZ ➔ YACUIBA
BUS,SANTA CRUZ,YACUIBA,RENACER,CAMA,126.0,126.0,126.0,1,2026-09-05,SANTA CRUZ ➔ YACUIBA
BUS,SANTA CRUZ,YACUIBA,EL FRONTERIZOFD SRL,CAMA,150.0,150.0,150.0,1,2026-09-05,SANTA CRUZ ➔ YACUIBA
BUS,SANTA CRUZ,YACUIBA,LA QUERIDA,CAMA,167.0,168.5,170.0,4,2026-09-07,SANTA CRUZ ➔ YACUIBA
BUS,SUCRE,COCHABAMBA,TRANS COPACABANA S.A.,CAMA,192.0,192.0,192.0,1,2026-09-05,SUCRE ➔ COCHABAMBA
BUS,SUCRE,LA PAZ,TRANS COPACABANA S.A.,CAMA,188.0,220.0,252.0,2,2026-09-06,SUCRE ➔ LA PAZ
BUS,SUCRE,LA PAZ,EL MEXICANO,SUITE,250.0,250.0,250.0,1,2026-09-06,SUCRE ➔ LA PAZ
BUS,SUCRE,SANTA CRUZ,EL MEXICANO,CAMA,150.0,150.0,150.0,1,2026-09-05,SUCRE ➔ SANTA CRUZ
BUS,SUCRE,SANTA CRUZ,TEQUILA,CAMA,157.0,167.5,178.0,2,2026-09-06,SUCRE ➔ SANTA CRUZ
BUS,SUCRE,SANTA CRUZ,EL MEXICANO,SUITE,230.0,240.0,250.0,2,2026-09-06,SUCRE ➔ SANTA CRUZ
BUS,SUCRE,TARIJA,ANDES BUS,CAMA,120.0,150.0,180.0,2,2026-09-06,SUCRE ➔ TARIJA
VUELO,Santa Cruz,Cochabamba,BOLIVIANA DE AVIACION,ECONOMICA,713.0,1020.4,1508.0,8,2026-09-07,Santa Cruz ➔ Cochabamba
VUELO,Santa Cruz,La Paz,BOLIVIANA DE AVIACION,ECONOMICA,783.0,981.0,1067.0,11,2026-09-07,Santa Cruz ➔ La Paz
VUELO,Santa Cruz,Oruro,BOLIVIANA DE AVIACION,ECONOMICA,1038.0,1370.3,1720.0,7,2026-09-06,Santa Cruz ➔ Oruro
VUELO,Santa Cruz,Tarija,BOLIVIANA DE AVIACION,ECONOMICA,963.0,1542.3,1851.0,3,2026-09-06,Santa Cruz ➔ Tarija
VUELO,Santa Cruz,Trinidad,BOLIVIANA DE AVIACION,ECONOMICA,1251.0,1666.1,1950.0,7,2026-09-06,Santa Cruz ➔ Trinidad
VUELO,Sucre,Cochabamba,BOLIVIANA DE AVIACION,ECONOMICA,444.0,491.0,538.0,3,2026-09-07,Sucre ➔ Cochabamba
VUELO,Sucre,La Paz,BOLIVIANA DE AVIACION,ECONOMICA,788.0,873.3,1044.0,3,2026-09-07,Sucre ➔ La Paz
VUELO,Sucre,Tarija,BOLIVIANA DE AVIACION,ECONOMICA,1057.0,1109.0,1182.0,3,2026-09-07,Sucre ➔ Tarija
BUS,TARIJA,LA PAZ,TRANS COPACABANA S.A.,CAMA,209.0,261.0,313.0,2,2026-09-06,TARIJA ➔ LA PAZ
