fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-08-22 18:45:00,El Alto,L,2026-08-22 00:45:00,2026-08-22 00:00:00.000,2026-08-22 00:45:00.000,689,BOLIVIANA DE AVIACION,B50015,MADRID - BUENOS AIRES - RIO DE JANEIRO - SAO PAULO - SANTA CRUZ,00:25,00:45,2,CERRADO,@@CERRADO,13,406831920,4068319,50
2026-08-22 18:45:00,Trinidad,S,2026-08-22 15:00:00,2026-08-22 00:00:00.000,2026-08-22 15:00:00.000,2810,AAA,AAAA,000,15:00,,N3,,,19,1073592631,10735926,50
2026-08-22 18:45:00,Trinidad,S,2026-08-22 16:20:00,2026-08-22 00:00:00.000,2026-08-22 16:20:00.000,3237,AAA,AAAA,000,16:20,,N3,,,19,1073592331,10735923,53
2026-08-22 18:45:00,Trinidad,S,2026-08-22 16:25:00,2026-08-22 00:00:00.000,2026-08-22 16:25:00.000,3060,AAA,AAAA,000,16:25,,N3,,,19,1073591531,10735915,54
2026-08-22 18:42:57,Viru Viru,L,2026-08-22 18:24:00,2026-08-22 00:00:00.000,2026-08-22 18:24:00.000,1729,BOLIVIANA DE AVIACION,B50015,IQUIQUE,17:50,18:24,C8,EN TIERRA,ARRIVED,73,94652619,946526,123
2026-08-22 18:45:00,El Alto,L,2026-08-22 18:40:00,2026-08-22 00:00:00.000,2026-08-22 18:40:00.000,677,BOLIVIANA DE AVIACION,B50015,ASUNCION - SANTA CRUZ,18:25,18:40,1-C2,EN TIERRA,BAGGAGE,29,406831320,4068313,82
2026-08-22 18:45:00,Jorge Wilstermann,L,2026-08-22 18:50:00,2026-08-22 00:00:00.000,2026-08-22 18:50:00.000,649,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,18:50,18:50,1,CONFIRMADO,CONFIRMED,74,51756218,517562,71
2026-08-22 18:45:00,El Alto,S,2026-08-22 19:05:00,2026-08-22 00:00:00.000,2026-08-22 19:05:00.000,921,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,19:05,,N5,PRE-EMBARQUE,PRE-BOARDING,2,406833020,4068330,83
2026-08-22 18:45:00,Jorge Wilstermann,L,2026-08-22 19:05:00,2026-08-22 00:00:00.000,2026-08-22 19:05:00.000,619,BOLIVIANA DE AVIACION,B50015,LA PAZ,18:45,19:05,,APROXIMADO,APROX,80,51756118,517561,72
2026-08-22 18:45:00,El Alto,S,2026-08-22 19:10:00,2026-08-22 00:00:00.000,2026-08-22 19:10:00.000,682,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,19:10,,R18,PRE-EMBARQUE,PRE-BOARDING,2,406833120,4068331,84
