fecha_consulta,tipo_transporte,fecha_salida,origen_codigo,origen_nombre,destino_codigo,destino_nombre,empresa_aerolinea,codigo_empresa,numero_vuelo_bus,fecha_hora_salida,fecha_hora_llegada,categoria_cabina,detalles_vehiculo,escalas_duracion,es_escala,numero_escalas,precio_bob,precio_max_bob,precio_minimo_bob
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SUCRE,SUCRE,BUSTILLO,127,1488IXL,2026-08-05 11:00,2026-08-05 19:30,CAMA,40 IXL,8h 30m,,,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,TRANS FLORES,217,707,2026-08-05 11:15,2026-08-05 18:30,CAMA,CAMA LEITO 40,7h 15m,,,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,EL DORADO,103,GAF,2026-08-05 12:00,2026-08-05 19:00,CAMA,CAMA 3 FILAS 40,7h 0m,,,146.0,150.0,140.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,ORURO,ORURO,NASER,183,3817 TFB,2026-08-05 12:00,2026-08-05 17:00,SEMI CAMA,SEMI CAMA LEITO 60,5h 0m,,,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,BOLIVIA,113,000,2026-08-05 13:30,2026-08-05 21:00,CAMA,CAMA 40,7h 30m,,,0.0,0.0,0.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,BOLIVIA,113,CPD,2026-08-05 13:30,2026-08-05 21:00,CAMA,CAMA 3F 43 SCANIA 2019,Directo (7h 30m),False,0,0.0,0.0,0.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,ORURO,ORURO,NASER,183,3817 TFB,2026-08-05 14:30,2026-08-05 19:30,SEMI CAMA,SEMI CAMA LEITO 60,Directo (5h 0m),False,0,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,EL DORADO,103,DYP,2026-08-05 15:00,2026-08-05 22:00,CAMA,CAMA 3F 43 SCANIA 2013,7h 0m,,,150.0,150.0,140.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,EL DORADO,103,DYP,2026-08-05 15:00,2026-08-05 22:00,CAMA,CAMA 3F 43 SCANIA 2013,Directo (7h 0m),False,0,150.0,150.0,140.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,TRANS COPACABANA S.A.,110,133,2026-08-05 16:00,2026-08-06 00:00,CAMA,CAMA DD 43,8h 0m,,,180.0,180.0,150.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,VILLAZON,VILLAZON,ILLIMANI,179,1320UXA,2026-08-05 16:00,2026-08-06 04:38,CAMA,CAMA 41 3F 2P,12h 38m,,,0.0,0.0,0.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,VILLAZON,VILLAZON,ILLIMANI,179,1320UXA,2026-08-05 16:00,2026-08-06 04:38,CAMA,CAMA 41 3F 2P,Directo (12h 38m),False,0,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,BOLIVIA,113,000,2026-08-05 16:30,2026-08-06 00:00,CAMA,CAMA 40,7h 30m,,,0.0,0.0,0.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,LA PAZ,LA PAZ,BOLIVIA,113,000,2026-08-05 16:30,2026-08-06 00:00,CAMA,CAMA 40,Directo (7h 30m),False,0,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,VILLAZON,VILLAZON,ILLIMANI,179,1760LIT,2026-08-05 17:00,2026-08-06 05:38,CAMA,CAMA 45 3F 2P,12h 38m,,,0.0,0.0,0.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,VILLAZON,VILLAZON,ILLIMANI,179,1760LIT,2026-08-05 17:00,2026-08-06 05:38,CAMA,CAMA 45 3F 2P,Directo (12h 38m),False,0,0.0,0.0,0.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SANTA CRUZ,SANTA CRUZ,RENACER,105,45,2026-08-05 17:30,2026-08-06 03:30,CAMA,CAMA 3 FILAS 1,10h 0m,,,199.0,200.0,100.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SANTA CRUZ,SANTA CRUZ,RENACER,105,45,2026-08-05 17:30,2026-08-06 03:30,CAMA,CAMA 3 FILAS 1,Directo (10h 0m),False,0,199.0,200.0,190.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SANTA CRUZ,SANTA CRUZ,TRANS COPACABANA S.A.,110,127,2026-08-05 19:00,2026-08-06 05:00,CAMA,CAMA D - PISO 43,10h 0m,,,250.0,250.0,200.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SANTA CRUZ,SANTA CRUZ,RENACER,105,79,2026-08-05 19:15,2026-08-06 05:15,CAMA,CAMA 3 FILAS 1,10h 0m,,,188.0,200.0,200.0
2026-08-05 12:01:16,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SANTA CRUZ,SANTA CRUZ,RENACER,105,79,2026-08-05 19:15,2026-08-06 05:15,CAMA,CAMA 3 FILAS 1,Directo (10h 0m),False,0,199.0,200.0,150.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,POTOSI,POTOSI,TRANS COPACABANA S.A.,110,133,2026-08-05 20:00,2026-08-06 06:00,CAMA,CAMA DD 43,10h 0m,,,250.0,250.0,200.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SANTA CRUZ,SANTA CRUZ,EL DORADO,103,000,2026-08-05 20:00,2026-08-06 08:00,CAMA,CAMA 3 FILAS 40,12h 0m,,,200.0,200.0,200.0
2026-08-05 10:06:04,BUS,2026-08-05,COCHABAMBA,COCHABAMBA,SUCRE,SUCRE,TRANS COPACABANA S.A.,110,161,2026-08-05 20:00,2026-08-06 03:00,CAMA,CAMA TV 43,7h 0m,,,250.0,250.0,200.0
